ID_CLIENT,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,AGREEMENT_RK,TARGET,WORK_TIME,CREDIT,TERM,FST_PAYMENT,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,FAMILY_INCOME,PERSONAL_INCOME
106805103,42,1,Среднее,Не состоял в браке,1,0,1,0,Московская область,Московская область,Московская область,1,0,60099204,1,3,5588,6,1000,1,0,от 20000 до 50000 руб.,25000
106809308,28,1,Среднее специальное,Состою в браке,1,1,1,0,Читинская область,Читинская область,Читинская область,0,0,62244665,0,5,19498,12,0,1,0,от 10000 до 20000 руб.,10000
106805867,64,0,Среднее специальное,Состою в браке,2,0,1,1,Иркутская область,Иркутская область,Иркутская область,0,1,61050759,0,360,15470,3,15000,1,1,от 20000 до 50000 руб.,30000
106808779,54,1,Среднее специальное,Состою в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,1,1,62079659,0,3,13960,6,2500,1,0,от 20000 до 50000 руб.,25000
106814289,26,0,Среднее специальное,Состою в браке,1,1,1,0,Красноярский край,Красноярский край,Красноярский край,1,0,66583553,0,12,11890,6,8000,2,2,от 10000 до 20000 руб.,15000
106814758,63,1,Среднее,Состою в браке,2,0,0,1,Иркутская область,Иркутская область,Иркутская область,0,0,66759647,0,48,11470,6,4000,1,1,от 10000 до 20000 руб.,7800
106804821,32,0,Среднее специальное,Состою в браке,0,0,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,60045224,1,96,24700,12,6160,1,0,от 10000 до 20000 руб.,12000
106814344,52,1,Среднее,Состою в браке,1,0,1,0,Брянская область,Брянская область,Брянская область,1,0,66593813,0,217,11551,6,5940,3,3,от 10000 до 20000 руб.,8000
106809579,47,0,Среднее,Состою в браке,2,0,1,0,Рязанская область,Рязанская область,Рязанская область,0,0,62380912,0,10,29990,6,10000,1,0,от 10000 до 20000 руб.,10000
106813445,23,1,Среднее специальное,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,65420244,0,18,7431,6,1000,1,1,от 5000 до 10000 руб.,7000
106812816,42,1,Среднее специальное,Состою в браке,2,1,1,0,Красноярский край,Красноярский край,Красноярский край,0,0,64885090,0,239,13190,12,0,1,0,от 20000 до 50000 руб.,9000
106806676,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,Карелия,Карелия,Карелия,1,0,61241205,0,8,21220,12,2400,1,0,от 10000 до 20000 руб.,12000
106813305,25,1,Высшее,Состою в браке,0,0,1,0,Омская область,Омская область,Омская область,0,0,65396723,0,36,6245,4,695,1,1,от 10000 до 20000 руб.,4900
106811087,37,1,Среднее специальное,Состою в браке,2,2,1,0,Московская область,Московская область,Московская область,0,0,63590644,0,18,19660,6,7000,1,0,от 20000 до 50000 руб.,20000
106809086,52,1,Среднее специальное,Вдовец/Вдова,3,0,0,1,Бурятия,Бурятия,Бурятия,1,0,62168155,0,48,6000,8,6000,1,0,от 5000 до 10000 руб.,5500
106818497,46,1,Среднее,Не состоял в браке,2,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0,74560681,0,48,5835,6,1030,2,2,от 5000 до 10000 руб.,55000
106805396,28,1,Среднее,Не состоял в браке,1,1,1,0,Мурманская область,Мурманская область,Мурманская область,0,0,60387399,0,60,9341,6,1648,1,0,от 10000 до 20000 руб.,8500
106810469,62,1,Неполное среднее,Не состоял в браке,0,0,0,1,Ростовская область,Ростовская область,Ростовская область,0,0,62810257,0,48,8370,10,2000,1,0,от 10000 до 20000 руб.,8000
106807246,50,0,Среднее специальное,Состою в браке,1,0,1,0,Красноярский край,Красноярский край,Красноярский край,1,1,61376906,0,216,29742,12,5248,1,0,от 20000 до 50000 руб.,20000
106809151,30,1,Среднее специальное,Состою в браке,2,2,1,0,Бурятия,Бурятия,Бурятия,0,0,62178934,1,3,9054,9,0,1,0,от 10000 до 20000 руб.,5000
106806814,64,0,Высшее,Не состоял в браке,0,0,0,1,Ставропольский край,Ставропольский край,Ставропольский край,1,0,61257026,0,48,19990,12,5000,1,0,от 5000 до 10000 руб.,9000
106809097,41,1,Среднее,Состою в браке,0,0,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,0,62171073,0,30,16100,5,2000,1,0,от 10000 до 20000 руб.,6500
106811950,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,64365052,0,18,8090,10,900,1,1,от 5000 до 10000 руб.,7000
106805618,41,1,Среднее специальное,Состою в браке,0,0,1,0,Тверская область,Тверская область,Тверская область,0,0,60456097,0,14,5040,6,1000,1,1,от 10000 до 20000 руб.,8000
